techniqueID,technique_name,tactic,score,is_subtechnique,atomic_link
T1564.001,Hidden Files and Directories,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1564.001/T1564.001.md
T1566.003,Spearphishing via Service,initial-access,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1566.003/T1566.003.md
T1571,Non-Standard Port,command-and-control,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1571/T1571.md
T1573.001,Symmetric Cryptography,command-and-control,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1573.001/T1573.001.md
T1574.001,DLL,persistence,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1574.001/T1574.001.md
T1574.001,DLL,privilege-escalation,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1574.001/T1574.001.md
T1574.001,DLL,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1574.001/T1574.001.md
T1574.013,KernelCallbackTable,persistence,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1574.013/T1574.013.md
T1574.013,KernelCallbackTable,privilege-escalation,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1574.013/T1574.013.md
T1574.013,KernelCallbackTable,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1574.013/T1574.013.md
T1583.004,Server,resource-development,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1583.004/T1583.004.md
T1583.006,Web Services,resource-development,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1583.006/T1583.006.md
T1584.001,Domains,resource-development,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1584.001/T1584.001.md
T1584.004,Server,resource-development,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1584.004/T1584.004.md
T1585.001,Social Media Accounts,resource-development,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1585.001/T1585.001.md
T1587.001,Malware,resource-development,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1587.001/T1587.001.md
T1587.002,Code Signing Certificates,resource-development,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1587.002/T1587.002.md
T1588.003,Code Signing Certificates,resource-development,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1588.003/T1588.003.md
T1588.004,Digital Certificates,resource-development,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1588.004/T1588.004.md
T1589,Gather Victim Identity Information,reconnaissance,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1589/T1589.md
T1589.002,Email Addresses,reconnaissance,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1589.002/T1589.002.md
T1591,Gather Victim Org Information,reconnaissance,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1591/T1591.md
T1591.004,Identify Roles,reconnaissance,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1591.004/T1591.004.md
T1593.001,Social Media,reconnaissance,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1593.001/T1593.001.md
T1608.002,Upload Tool,resource-development,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1608.002/T1608.002.md
T1614.001,System Language Discovery,discovery,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1614.001/T1614.001.md
T1620,Reflective Code Loading,defense-evasion,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1620/T1620.md
T1622,Debugger Evasion,defense-evasion,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1622/T1622.md
T1622,Debugger Evasion,discovery,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1622/T1622.md
T1680,Local Storage Discovery,discovery,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1680/T1680.md
T1056,Input Capture,collection,3,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1056/T1056.md
T1056,Input Capture,credential-access,3,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1056/T1056.md
T1070.008,Clear Mailbox Data,defense-evasion,3,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1070.008/T1070.008.md
T1087.001,Local Account,discovery,3,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1087.001/T1087.001.md
T1102,Web Service,command-and-control,3,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1102/T1102.md
T1111,Multi-Factor Authentication Interception,credential-access,3,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1111/T1111.md
T1112,Modify Registry,defense-evasion,3,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1112/T1112.md
T1112,Modify Registry,persistence,3,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1112/T1112.md
T1113,Screen Capture,collection,3,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1113/T1113.md
T1518.001,Security Software Discovery,discovery,3,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1518.001/T1518.001.md
T1530,Data from Cloud Storage,collection,3,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1530/T1530.md
T1539,Steal Web Session Cookie,credential-access,3,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1539/T1539.md
T1547,Boot or Logon Autostart Execution,persistence,3,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1547/T1547.md
T1547,Boot or Logon Autostart Execution,privilege-escalation,3,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1547/T1547.md
T1555.003,Credentials from Web Browsers,credential-access,3,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1555.003/T1555.003.md
T1573.002,Asymmetric Cryptography,command-and-control,3,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1573.002/T1573.002.md
T1583.003,Virtual Private Server,resource-development,3,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1583.003/T1583.003.md
T1027.003,Steganography,defense-evasion,2,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1027.003/T1027.003.md
T1588.001,Malware,resource-development,2,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1588.001/T1588.001.md
T1590.005,IP Addresses,reconnaissance,2,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1590.005/T1590.005.md
T1592.002,Software,reconnaissance,2,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1592.002/T1592.002.md
